0	1
He genam hi þa onsundron and sæde hyre gewislice hwæt heo man ne wæs and hwylcere mægþe and þæt heo þurh mægðhad mycclum gelicode þam heofonlican cyninge þe heo gecoren hæfde and cwæð þæt heo sceolde swiðlice æhtnyssa for mægðhade ðrowian and þeah beon gescyld þurh þone soðan Drihten þe gescylt his gecorenan	he geniman heo þa onsundrum and secgan heo Gewislice hwæt heo mann ne wesan and hwilc mægþ and þæt heo þurh mægþhad micel gelician se heofonlic cyning þe heo geceosan habban and cweþan þæt heo sculan swiþlice eahtnes for mægþhad þrowian and þeah beon gescildan þurh se soþ Dryhten þe gescildan his geceosan
To hire twam cnihtum he cwæð þæt hi heoldan æþelborennyss on mode þeah þe hi mannum þeowdon and cwæð þæt hi Crist gespræce þysum godspellicum wordum	to hire twegen cniht he cweþan þæt hi healdan æþelborenness on mod þeah þe hi mann þeowian and cweþan þæt hi Crist gesprecan þes godspellic word
Ne hate ic eow na þeowan	ne hatan ic ge na þeow
ac ge synd mine freond	ac ge wesan min freond
Þa bebead se biscop þam gebogenan mædene þæt heo swa þurhwunade on þam wærlicum hiwe oþ þæt hi on fante gefullode wurdon and mynsterlicre drohtnunge dearnunge geþeodde	þa bebeodan se bisceop se gebugan mægden þæt heo swa þurhwunian on se werlic hiw oþ þæt hi on fant gefullian weorþan and mynsterlic drohtnung dearnunga geþeodan
Eugenia þa wunode on þam mynstre mid wærlicum mode þeah þe heo mæden wære mid hyre twam cnihtum uncuð gehwam And heold on hyre þeawum halige drohtnunge ðurh modes liþnesse and mycelre eadmodnesse and þurh halige mægnu þam hælende gecwæmde	Eugenia þa wunian on se mynster mid werlic mod þeah þe heo mægden wesan mid hire twegen cniht uncuþ gehwa and healdan on hire þeaw halig drohtnung þurh mod liðness and micel eadmodnes and þurh halig mægen se hælend gecweman
Heo þeah on lare þæs rihtan geleafan and on godcundlicum gewrytum mid godum wyllan and wearð awend of wulfe to sceape	heo þeon on lar se riht geleafa and on godcundlic gewrit mid god willa and weorþan awendan of wulf to sceap
Hyre geeuenlæhton eac hyre cnihtas Protus et Iacinctus on synderlicre drohtnunge and hyre digolnysse eallum bedyrndon	heo geefemlæcan eac hire cniht Protus et Iacinctus on synderlic drohtnung and hire digolnes eal bedyrnan
Philippus ða se fæder forwearð on mode	Philippus þa se fæder forweorþan on mod
and seo modor Claudia mid murcnunge wæs fornumen	and se modor Claudia mid murcnung wesan forniman
and eall seo mægð on mode wearð astyred and sohten þæt mæden mid mycelre sarnysse	and eal se mægþ on mod weorþan astyrian and secan se mæden mid micel sarness
Hi axoden æt wyccum and æt wisum dryum eac æt heora leasum godum be þære Godes þinene	hi ascian æt wicca and æt wis dry eac æt hira leas god be se God þignen
Him wearð þa gesæd to soþum þinge þæt ða godes hi gegripon for hyre godnysse	he weorþan þa gesecgan to soþ þing þæt se god heo gegripan for hire godnes
Þa gelyfde se fæder þære leasunga and het asmiðigen of smætum golde hyre anlycnysse and þa wurðode swa swa halige gydenan	þa gelifan se fæder se leasung and het asmiðian of smæte gold hire anlicnes and se weorþian swa swa halig gyden
ac hit wæs gold swa þeah	ac hit wesan gold swa þeah
Þa æfter þrym gearum þæs þe heo gecyrred wæs gewat se abbod þe hyre ealdor wæs	þa æfter þri gear se þe heo gecyrran wesan gewitan se abbad þe hire ealdor wesan
And þa gebroðra sona ceosan ongunnen Eugenian to abbude for hyre arfæstan life and n yston þæt heo wæs wimman swa þeah	and se gebroðor sona ceosan onginnan Eugenia to abbad for hire arfæst lif and ne witan þæt heo wesan wifmann swa þeah
Ða wearð þæt mæden mycclum hohful hu heo æfre wæras wissian sceolde	þa weorþan se mægden micel hohfull hu heo æfre wer wissian sculan
Ne dorste swa þeah hi ealle gedrefan and hyra geþeaht forseon ac fæng to ðam hade	ne durran swa þeah hi eal gedrefan and hira geþeaht forseon ac fon to se had
Hwæt ða Eugenia hym eallum gebysnode mid goddre gedrohtnunge to Godes þeowdome and mid carfulnysse þonne hyred gewissode	hwæt þa Eugenia he eal gebysnian mid god gedrohtnung to God þeowdom and mid carfulnys se hyred gewissian
Hyre geuðe þa se ælmihtiga wealdend þæt heo untrume menn mihte gehælan swa hwylcne swa heo geneosode licgende on sare	heo geunnan þa se eallmihtig wealdend þæt heo untrum mann magan gehælan swa hwilc swa heo geneosian licgan on sar
Heo aflygde eac swylce þa fulan deofla fram ofsættum mannum þurh soðne geleafan	heo afleon eac swilce se ful Deofol fram ofsettan mann þurh soþ geleafa
Þa wæs sum wif wælig on æhtum Melantia gecyged swiðe þearle gedreht mid langsumum feofore and com to ðære femnan	þa wesan sum wif welig on æht Melantia gecigan swiðe þearle gedreccan mid langsumum fefer and cuman to se fæmne
Eugenia þa hi gesmyrode mid gehalgodum ele and eac gemearcode mid rodetacne	Eugenia þa heo gesmyrian mid gehalgian ele and eac gemearcian mid rodetacen
And heo þæt reðe attor eall ut aspaw þe hyre dærede and wearþ gehæled þurh þæt halige mæden	and heo se reðe ator eal ut aspiwan þe heo derian and weorþan gehælan þurh se halig mægden
Þa bead seo wydewe þam mædene sceattas for hyre hæle	þa beodan se widuwe se mægden sceatt for hire hæle
ac heo hi forsoc and tihte ða oþre þæt heo hi dælde þearfum and wædlum for ðam gewissan eadleane	ac heo hi forsacan and tyhtan se oðer þæt heo hi dælan þearfa and wædla for se gewis edlean
Ða gewænde seo wydewe ham to hyre agenum and com siððan gelome mid leasum mode to þam wlytegan mædene	þa gewendan se widuwe ham to hire agen and cuman siððan gelome mid leas mod to se wlitig mægden
wende þæt heo cniht wære and mænigfealde sceattas hyre unmæðlice bead	wenan þæt heo cniht wesan and manigfeald sceatt heo unmæþlice beodan
Ac þa þa heo geseah þæt seo soðfæste fæmne hyre laca ne rohte ne hyre rununga þa wearð heo mid yfele eall afylled and gebræd hi seoce mid bysmorfullum geþance	ac þa þa heo geseon þæt se soþfæst fæmne hire lac ne reccan ne hire runung þa weorþan heo mid yfel eal afyllan and gebredan heo seoc mid bysmorfull geþanc
Heo bæd þa Eugenian þæt heo hi geneosode and ongan hyre sæcgan hyre sweartan geþohtas	heo biddan þa Eugenia þæt heo heo geneosian and onginnan heo secgan hire sweart geþoht
Cwæð þæt heo wære wydewe on þam geare	cweþan þæt heo wesan widuwe on se gear
and hyre wer læfde unlytle æhta on lande and on feo and on forewyrcendum	and hire wer læfan unlytel æht on land and on feoh and on forewyrcend
And unc n æs gemæne man on ðysum lyfe	and wit ne wesan gemæne man on þes lif
Nu is min mod awend mycclum to ðe þæt þu hlaford beo þæra æhta and min	nu wesan min mod awendan micel to þu þæt þu hlaford beon se æht and ic
Ic wene þæt hit ne sy unrihtwisnysse ætforan Gode þeah ðe þu wifes bruce and blysse on life	ic wenan þæt hit ne wesan unrihtwisness ætforan God þeah þe þu wif brucan and blis on lif
Ða andwyrde Eugenia þyssere olecunge and cwæð to þam wife mid þisum ingehyde þæt ða gewylnunga þissere andweardan worulde synt swiðe swicole þeah þe hi geswæse beon And þæs lichoman lustas gelome bepæceð and to sarnissum gelædað þa þe hi swiðost lufiað	þa andwerdan Eugenia þes oleccung and cweþan to se wif mid þes ingehygd þæt se gewilnung þes andweard weorold wesan swiðe swicol þeah þe hi geswæs beon and se lichama lust gelome bepæcan and to sarness gelædan se þe hi swiðe lufian
Æfter þissere tihtinge and on oðrum larum beclypte seo myltestre þæt clæne mæden and wolde hi gebygan to bismorlicum hæmede	æfter þes tyhting and on oðer lar beclypian se miltestre se clæne mæden and willan heo gebygan to bismerlic hæmed
Hwæt ða Eugenia hi gebletsode and cwæð to ðære sceande þæt heo soðlice wære galnysse ontendnyss and gramena mæge þeostra gefæra and mid sweartnysse afylled deaðes dohtor and deofles fætels	hwæt þa Eugenia heo gebledsian and cweþan to se sceand þæt heo soþlice wesan galnes ontendness and grama mæge þeostru gefara and mid sweartness afyllan deaþ dohtor and Deofol fætels
Habban þine æhta þine gelican	habban þin æht þin gelica
We habbað ealle ðing mid þam ælmihtigan Drihtne	we habban eal þing mid se eallmihtig Dryhten
Ða wearð Melantia micclum ofsceamod	þa weorþan Melantia micel ofsceamian
wende þæt heo wolde hyre word ameldian buton heo sylf on ær hit openlice cydde	wenan þæt heo willan hire word ameldian butan heo self on ær hit openlice cyþan
Færde þa ardlice to Alexandrian byrig to þam heahgeræfan þe wæs gehaten Philippus Eugenian fæder þeah seo fule þæt n yste and begann hi to wrægenne and wolde forsæcgan	feran þa arodlice to Alexandria burh to se heahgerefa þe wesan gehatan Philippus Eugenia fæder þeah se ful se ne witan and beginnan heo to wregan and willan forsecgan
Cwæð þæt heo eode to hyre licgendre on læces hiwe and hi wolde forlycgan gif heo þæt bysmor forberan wolde	cweþan þæt heo gan to hire licgan on læce hiw and heo willan forlicgan gif heo se bismer forberan willan
Ac ic hrymde sona mid sarlicre stæmne oþ þæt an minra wimmanna me wið hine ahredde	ac ic hryman sona mid sarlic stefn oþ þæt an min wifmann ic wiþ he ahreddan
Ða gelyfde Philippus þære facenfyllan segene and swiðe gehatheort het hi gefæccan and eac ða gebroðra ealle gebundene and heold hi on bendum and on blindum cwearterne oð þæt he mid wytum þæt wif gewræce	þa gelifan Philippus se facenful segen and swiðe gehathirtan hatan heo gefeccan and eac se gebroðor eal gebindan and healdan hi on bend and on blind cweartern oþ þæt he mid wite se wif gewrecan
Þa com se dæg þe se dema gesætte	þa cuman se dæg þe se dema gesettan
And wæron gegeorcode þa reðan wyta	and wesan gegearcian se reðe wite
And wurdon gefætte ætforan þam deman þa unscildigan cristenan on swærtum racentægum	and weorþan gefetian ætforan se dema se unscyldig cristen on sweart racent-teah
Ða cwæð Philippus mid fullum graman to Eugenian his agenre dehter	þa cweþan Philippus mid full grama to Eugenia his agen dohtor
Sege þu forscyldeguda	secgan þu forscyldigian
hwi woldest ðu beswican þæt mære wif Melantian mid forligre and on læces hiwe hi forlicgan woldest	hwy willan þu beswican se mære wif Melantia mid forliger and on læce hiw heo forlicgan willan
Ða cwæð Eugenia þæt heo eaþe mihte þæs forlyres unhlisan hi beladian and Melantian onsage mid soðe oferdrifan gif Philippus wolde gefæstnian mid aþe þæt seo lease wrægistre ne wurde fordæmed	þa cweþan Eugenia þæt heo eaþe magan se forliger unhlisa heo beladian and Melantia onsagu mid soþ oferdrifan gif Philippus willan gefæstnian mid aþ þæt se leas wregestre ne weorþan fordeman
Ða swor Philippus þæt he friðian wolde þa leasan wudewan ðeah þe heo gelignod wurðe	þa swerian Philippus þæt he friþian willan se leas widuwe þeah þe heo gelygnian weorþan
Þa bæd Eugenia þæt seo wyln sceolde sæcgan þam deman hu hit gedon wære and hu heo hyre hlæfdian wið hyre lustas ahrædde	þa biddan Eugenia þæt se wiln sculan secgan se dema hu hit gedo wesan and hu heo hire hlæfdige wiþ hire lust ahreddan
And se gerefa het eac þa cnihtas Melantian hyredes cyðan be ðison gif hi þis gehyrdon	and se gerefa hatan eac se cniht Melantia hired cyþan be þes gif hi þes gehyran
Þa cwæð seo wyln þæt heo wyste gefyrn hu Eugenia ferde fracodlice on forlygre and wolde þa æt.nehstan hyre hlæfdian gebysmrian butan heo mid hreame hyre hræddinge ofclypode	þa cweþan se wiln þæt heo witan gefyrn hu Eugenia feran fracodlice on forliger and willan þa æt-nyhstan hire hlæfdige gebismerian butan heo mid hream hire hredding ofclipian
þis witan þas hyredmen þe ic þider clypode	þes witan þes hiredmann þe ic þider clypian
Ða sædon þa hyredmenn þæt hit soð wære	þa secgan se hiredmann þæt hit soþ wesan
and ealle mid aðe Eugenian forlugan	and eal mid aþ Eugenia forleogan
Þa wearð se geræfa þearle gebolgen and axude Eugenian hu heo ana mihte ealle þa gewytan awægan mid aðe oððe þurh ænige swutelunge hi sylfe aclænsian	þa weorþan se gerefa þearle gebelgan and ascian Eugenia hu heo ana magan eal se gewita awægan mid aþ oððe þurh ænig sweotolung heo self aclænsian
Hwæt ða Eugenia seo æþele fæmne cwæð þæt heo wolde hi sylfe bediglian and Criste anum hyre clænnysse healdan on mægðhade wuniende mannum uncuð and forðy underfænge æt fruman þa gyrlan wærlices hades and wurde geefsod	hwæt þa Eugenia se æðele fæmne cweþan þæt heo willan heo self bediglian and Crist an hire clænnes healdan on mægþhad wunian mann uncuþ and forði underfon æt fruma se gerela werlic had and weorþan geefesian
Æfter þysum wordum heo totær hyre gewædu and ætæwde hyre breost þam breman Philippe and cwæð him to	æfter þes word heo toteran hire gewæde and æteowian hire breost se breme Philippus and cweþan he to
þu eart min fæder	þu wesan min fæder
and þin gebædda Claudia gebær me to mannum	and þin gebedda Claudia geberan ic to mann
and ðas ðine gesætlan synd mine gebroðra Auitus and Særgius	and þes þin gesetla wesan min gebroðor Auitus and Sergius
and ic soðlice eom Eugenia gehaten þin agen dohtor	and ic Soðlice wesan Eugenia gehatan þin agen dohtor
And ic for Cristes lufe forlæt eow ealle and middaneardlice lustas swa swa meox forseah	and ic for Crist lufu forlætan ge eal and middaneardlic lust swa swa meox forseon
Her synd eac þa cnihtas þe ic cydde mine digolnysse Protus et Iacinctus þine fostercyld mid ðam ic becom to Cristes scole and þær.on drohtnode oð þisne andwærden dæg	her wesan eac se cniht þe ic cyþan min digolnes Protus et Iacinctus þin fostercild mid se ic becuman to Crist scolu and þæron drohtnian oþ þes andweard dæg
and ðam ic wylle æfre oð ende þeowian	and se ic willan æfre oþ ende þeowian
Ða oncneow Philippus swa swa fæder Eugenian	þa oncnawan Philippus swa swa fæder Eugenia
and Auitus and Særgius hyra agene swyster	and Auitus and Sergius hira agen sweostor
and hyra hyredcnihtas hi eadmodlice cyston	and hira hiredcniht heo eadmodlice cyssan
Þis wearð sona gecyd Claudian þære mæder	þes weorþan sona gecyþan Claudia se modor
and heo mid wundrunge wearð befangen and to Eugenian com mid ealre blysse	and heo mid wundrung weorþan befon and to Eugenia cuman mid eal blis
Hi þa gefretewodon þa fæmnan mid golde hyre unþances and up gesætton to him	hi þa gefrætewian se fæmne mid gold hire unþanc and up gesettan to hi
Þa clypode þæt folc þæt Crist wære soð God	þa clypian se folc þæt Crist wesan soþ God
and hi ealle herodon þonne hælend mid wuldre	and hi eal herian se hælend mid wuldor
Eugenia hæfde ær geþingod þære leasan Melantian to hyre leofan fæder þæt heo mid wytum ne awræce hyre welhreowan ehtnysse	Eugenia habban ær geþingian se leas Melantia to hire leof fæder þæt heo mid wite ne awrecan hire wælhreow ehtnes
Ac Crist sylf asende swægende fyr ufan of heofonum þæt menn onhawoden to Melantian botle and hit mid ealle forbernde swa þæt ðær n æs to lafe nan ðing þe hyre wæs	ac Crist self asendan swegan fyr ufan of heofon se mann onhawian to Melantia botl and hit mid eal forbærnan swa þæt þær ne wesan to laf nan þing þe heo wesan
Þa wurdon gefullode Philippus and Claudia and heora twægen suna mid soðum geleafan	þa weorþan gefyllan Philippus and Claudia and hira Twægen sunu mid soþ geleafa
and seo mæste mæniu þæs mennisces gebeah to Cristes bigengum and þa cristenan gegododon	and se micel menigu se mennisc gebugan to Crist bigeng and se cristen gegodian
Ða wurdon geædniwode on ðam eahteoðan geare þa forlætenan cyrcan	þa weorþan geedniwian on se eahtoþa gear se forlætan circe
and seo geleaffulnyss weox	and se geleaffulnes weaxan
Philippus þa asende to Seuero þam casere and sæde þæt þa cristenan swiðe fremoden his cynerice and romaniscere leode and hi wæl wyrðe wæron þæt hi wunodon butan æhtnysse on ðære ylcan byrig þe he hi ær of adræfde	Philippus þa asendan to Seuerus se Casere and secgan þæt se cristen swiðe fremian his cynerice and Romanisc leod and hi wel weorþ wesan þæt hi wunian butan eahtnes on se ilca burh þe he hi ær of adrifan
Þa geþafode se casere þæt ðam geræfan	þa geþafian se Casere se se gerefa
and Alexandria seo burh sona wearð afylled mid mycclum cristendome and manegum cyrcum	and Alexandria se burh sona weorþan afyllan mid micel Cristendom and manig circe
And on gehwylcum burgum blissoden þa cristenan and mid wurðfulnysse God wurðodon eac for þysum intingan þæt ægyptisce folc forlætenum gedwylde gelyfde on Drihten	and on gehwylc burh blissian se cristen and mid weorþfulness God wurðodon eac for þes intinga þæt Egiptisc folc forlætan gedwyld gelifan on Dryhten
And Philippus forgeaf fæla eahta þam cristenum him to gemænan brice and hi gemundode	and Philippus forgifan fela æht se cristen hi to gemæne bryce and hi gemundian
Æfter þisum gelamp þæt ða leasan hæðenan wrægdon Philippum to ðam foresæden casere	æfter þes gelimpan þæt se leas hæðena wregan Philippus to se foresecgan Casere
sædon þæt he forlete þa lifiendan godas and ealle þa burhwaræ gebigde to Criste	secgan þæt he forlætan se lifian god and eal se burhware gebugan to Crist
Þa wearð se casere sona geyrsod and bebead Philippe þæt he buge to his godum oððe wære benæmed wurðscipes and æhta	þa weorþan se Casere sona geyrsian and bebeodan Philippus þæt he bugan to his god oððe wesan benæman weorþscipe and æht
Þa dælde Philippus digollice his æhta geond ealle þa scyre cyrcum and þearfum and þurh mycelne geleafan manega oðre getrymode swa þæt ða cristenan hine gecuron to bisceope	þa dælan Philippus digollice his æht geond eal se scir circe and þearfa and þurh micel geleafa manig oðer getrymman swa þæt se cristen he geceosan to bisceop
Ða æfter twælf monðum gemunde se casere hwæt him gesæd wæs and sænde fram Rome oðerne gerefan mid reðum bebode swa þæt he het acwellan þone cristenan Philippum gif hit soð wære swa him gesæd wæs	þa æfter twelf monað gemunan se Casere hwæt he gesecgan wesan and sendan fram Rom oðer gerefa mid reðe bebod swa þæt he hatan acwellan se cristen Philippus gif hit soþ wesan swa he gesecgan wesan
Ða com se gerefa and hine acwællan ne dorste on þæs folces gewytnysse for heora freondrædene ac asende sume þe sædon þæt hi wæran on Criste gelyfede	þa cuman se gerefa and he acwellan ne durran on se folc gewitnes for hira freondræden ac asendan sum þe secgan þæt hi wesan on Crist gelyfan
ac hi lugon swa þeah	ac hi leogan swa þeah
Ða eoden to cyrcean mid swiðlicum facne and ðone mæran biscop on his gebædum ofslogan	se gan to circe mid swiþlic facen and se mære bisceop on his gebed ofslean
Ac he wunade swa ðeah on þam wundum cucu geond þreora daga fæc and gefrefrode þa cristenan and swa mid martyrdome siþþan gewat to ðam lifigendan Drihtne þe he on life wurðode	ac he wunian swa þeah on se wund cwic geond þri dæg fæc and gefrefrian se cristen and swa mid martyrdom siððan gewitan to se lifian Dryhten þe he on lif weorþian
Eugenia hæfde ær þan asteald mynecena mynster mid mycelre gehealdsumnysse	Eugenia habban ær se astellan mynecenu mynster mid micel gehealdsumnys
and seo modor Claudia hit micclum gegodode	and se modor Claudia hit micel gegodian
and hi þær bebyrgdon þone bisceop Philippum	and hi þær bebyrgan se bisceop Philippus
And hi siþþan ealle endemes færdon seo modor and seo dohtor to ðære mæran Rome.byrig and ða gebroðru samod Særgius and Auitus	and hi siððan eal endemes feran se modor and se dohtor to se mære Romeburh and se gebroðor samod Sergius and Auitus
And þa romaniscan wytan hi wel underfængon and for þære ealdan cyððe þæs æðelan Philippes	and se Romanisc wita hi wel underfon and for se eald cyþ se æðele Philippus
Þa gesætton þa wytan sona þa cnihtas on twam heafodburgum on healicum wurðmynte ænne on Affrican and oðerne on Cartagine	þa gesettan se wita sona se cniht on twegen heafodburh on healic weorþmynd an on Affrica and oðer on Cartagine
Eugenia þa wunode on Rome	Eugenia þa wunian on Rom
and hire coman to gehwylce mædenu	and heo cuman to gehwylc mægden
and heo hi gebegde mid hyre gebysnunge to Criste	and heo hi gebegan mid hire gebysnung to Crist
and hi on mægðhade wunodon þurh hyre mynegunge	and hi on mægþhad wunian þurh hire mynegung
Þa wæs on Rome.byrig sum cyneboren mæden Basilla gehaten on hæðenscype wunigende seo wolde gehyran þa halgan lare of Eugenian muþe	þa wesan on Romeburh sum cyneboren mægden Basilla gehatan on hæðenscipe wunian se willan gehyran se halig lar of Eugenia muþ
ac heo ne mihte hire genealecean forðan þe cristendom wæs þær onscunigendlic	ac heo ne magan heo genealæcan forðam þe Cristendom wesan þær onscunigendlic
Ða sende Eugenia þa twægen halgan Protum and Iacinctum to ðam hæðenen mædene	þa sendan Eugenia se twegen halga Protus and Iacinctus to se hæðen mægden
Hwæt þa Basilla mid blysse hi underfæng and deges and nihtes mid þam deorwurðum halgum Godes lare beeode and hyre gebæda ne geswac oð ðæt Cornelius þæra cristenra biscop hi dearnunga gefullode fram eallum fulnyssum	hwæt þa Basilla mid blis heo underfon and dæg and niht mid se deorwyrþe halga God lar began and hire gebed ne geswican oþ þæt Cornelius se cristen bisceop heo dearnunga gefullian fram eal fulnes
Þa wurdon gelome þa leofan mædenu Eugenia and Basilla and eac se biscop on sunderspræce swiðe gebysgode	þa weorþan gelome se leof mægden Eugenia and Basilla and eac se bisceop on sundorspræc swiðe gebysgian
and digellice on nihtum hi symble geneosodon and hæfdon heora gerihtu mid þam halgen biscope	and digellice on niht hi simble geneosian and habban hira geriht mid se halig bisceop
Þurh ðas twa mædena manega oðre becoman to Cristes geleafan and to clænre drohtnunge	þurh þes twegen mægden manig oðer becuman to Crist geleafa and to clæne drohtnung
Ðurh Claudian becoman eac clæne wudewan mid godum wyllan to Godes geleafan	þurh Claudia becuman eac clæne widuwe mid god willa to God geleafa
And fæla cnihta on Crist gelyfden þurh ða twægen halgan Protum et Iacinctum	and fela cniht on Crist gelyfan þurh se twegen halga Protus et Iacinctus
Basilla hæfde enne hæðene wogere Pompeius gecyged swiðe æðelboren þam geuðe se casere þæt kyneborene mæden	Basilla habban an hæðen wogere Pompeius gecigan swiðe æðelboren se geunnan se Casere se cyneboren mægden
ac heo hæfde gecoren Crist hyre to brydguman and þone hæðenan wogere forþi habban n olde	ac heo habban geceosan Crist hire to brydguma and se hæðen wogere forði habban ne willan
Þa gesohte se cniht þæs kaseres fett	þa gesecan se cniht se Casere fot
and þa Romaniscan wytan mid woplicre ceorunge him mid spræcon and ða mædena wregdon Eugenian and Basillan biddende his fultumes	and se Romanisc wita mid woplic ceorung he mid sprecan and se mægden wregan Eugenia and Basilla biddan his fultum
Hwæt þa se casere cwæð him to andsware þæt Basilla sceolde gebugan to ðam cnihte	hwæt þa se Casere cweþan hi to andswaru þæt Basilla sculan gebugan to se cniht
oþþe hi man toheowe mid heardum swurde on twa	oððe heo man toheawan mid heard sweord on twegen
